epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,2815.71,0.65615,1.31578,0.22359,0.39306,0.95837,0.95289,0.95455,0.96337,0.74819,0.93021,0.93182,0.92891,0.63062,0.96405,1.4841,0.15681,0.43168,1.25242,0.0006008,0.0006008,0.0006008
108,2839.86,0.61799,1.33024,0.21795,0.36511,0.94928,0.95345,0.95455,0.96153,0.73294,0.93075,0.93182,0.92335,0.63121,1.00821,1.60835,0.1564,0.46295,1.28828,0.0005876,0.0005876,0.0005876
109,2864.05,0.60651,1.33279,0.20124,0.3708,0.94285,0.95364,0.95455,0.96412,0.73072,0.93094,0.93182,0.92792,0.63217,1.03043,1.56635,0.14987,0.43454,1.29947,0.0005744,0.0005744,0.0005744
110,2888.53,0.6212,1.33212,0.22317,0.38339,0.96774,0.93235,0.95455,0.95698,0.73881,0.91012,0.93182,0.91843,0.64366,1.01761,1.61916,0.15342,0.46084,1.31145,0.0005612,0.0005612,0.0005612
111,2913.17,0.59745,1.21436,0.20546,0.36104,0.93868,0.95399,0.95455,0.95639,0.75372,0.93123,0.93182,0.91454,0.61788,0.95446,1.61482,0.16893,0.44521,1.27038,0.000548,0.000548,0.000548
112,2937.39,0.59071,1.27874,0.20084,0.35886,0.93507,0.95362,0.95455,0.96374,0.7604,0.93088,0.93182,0.92933,0.64085,0.96088,1.59291,0.16464,0.47157,1.25075,0.0005348,0.0005348,0.0005348
113,2961.59,0.59833,1.27998,0.21194,0.37524,0.94112,0.95327,0.95455,0.96718,0.7617,0.90788,0.90909,0.89409,0.67138,0.93362,1.57561,0.16444,0.42896,1.25328,0.0005216,0.0005216,0.0005216
114,2985.8,0.59883,1.2301,0.21016,0.36408,0.94965,0.95295,0.95455,0.95145,0.72732,0.93023,0.93182,0.92671,0.62998,0.98846,1.53273,0.14651,0.4463,1.28128,0.0005084,0.0005084,0.0005084
115,3009.93,0.55998,1.21234,0.21522,0.34192,0.92948,0.95309,0.95455,0.9571,0.74306,0.9304,0.93182,0.94171,0.66021,0.96572,1.4186,0.15443,0.45702,1.25486,0.0004952,0.0004952,0.0004952
116,3034.02,0.57992,1.24413,0.19501,0.36098,0.93329,0.95327,0.95455,0.95973,0.72328,0.93057,0.93182,0.93566,0.67866,1.03818,1.49593,0.15909,0.44976,1.336,0.000482,0.000482,0.000482
117,3058.19,0.57214,1.25022,0.21208,0.35074,0.93263,0.95346,0.95455,0.96276,0.75052,0.93076,0.93182,0.9369,0.68525,0.97327,1.49608,0.16753,0.43285,1.26811,0.0004688,0.0004688,0.0004688
118,3082.39,0.58968,1.17782,0.21147,0.36022,0.94845,0.95323,0.95455,0.96782,0.74232,0.93053,0.93182,0.94757,0.69495,0.98306,1.53033,0.15685,0.42934,1.29824,0.0004556,0.0004556,0.0004556
119,3106.6,0.57619,1.23361,0.20071,0.35006,0.93524,0.95286,0.95455,0.95589,0.74813,0.93017,0.93182,0.92619,0.64963,0.98889,1.53132,0.1495,0.42734,1.31039,0.0004424,0.0004424,0.0004424
120,3130.91,0.5716,1.2352,0.21741,0.3556,0.93909,0.93214,0.95455,0.9526,0.73025,0.90995,0.93182,0.92602,0.66175,0.98511,1.5245,0.15953,0.46072,1.28149,0.0004292,0.0004292,0.0004292
121,3155.17,0.56869,1.32689,0.18727,0.35616,0.93741,0.95323,0.95455,0.96016,0.7414,0.93053,0.93182,0.93035,0.66061,1.02814,1.54126,0.15553,0.44815,1.36531,0.000416,0.000416,0.000416
122,3179.38,0.55235,1.15333,0.20721,0.33407,0.93193,0.95353,0.95455,0.96255,0.74022,0.9308,0.93182,0.93044,0.66487,1.0219,1.46379,0.15402,0.44412,1.35588,0.0004028,0.0004028,0.0004028
123,3203.63,0.55817,1.20321,0.20755,0.35619,0.94298,0.95301,0.95455,0.95595,0.72406,0.93032,0.93182,0.93595,0.66151,1.02178,1.53061,0.15084,0.45012,1.35952,0.0003896,0.0003896,0.0003896
124,3227.76,0.56584,1.15925,0.20125,0.35538,0.92669,0.95303,0.95455,0.95848,0.74379,0.93034,0.93182,0.93318,0.66475,0.99496,1.55846,0.15773,0.45032,1.3242,0.0003764,0.0003764,0.0003764
125,3252.06,0.55047,1.18639,0.20169,0.33797,0.92834,0.94798,0.95455,0.95522,0.74461,0.92519,0.93182,0.93294,0.64837,1.00808,1.57678,0.15695,0.44798,1.35858,0.0003632,0.0003632,0.0003632
126,3276.45,0.55323,1.10869,0.18649,0.35479,0.93277,0.94269,0.95455,0.95994,0.72874,0.91997,0.93182,0.93522,0.63827,1.00647,1.56199,0.15625,0.45537,1.35364,0.00035,0.00035,0.00035
127,3300.76,0.5519,1.19845,0.19958,0.34658,0.94149,0.93333,0.95443,0.9593,0.73927,0.91111,0.93178,0.94107,0.63848,1.00978,1.48836,0.15704,0.45653,1.34933,0.0003368,0.0003368,0.0003368
128,3324.99,0.54518,1.14099,0.20748,0.34386,0.93948,0.93329,0.9539,0.95921,0.73788,0.91106,0.93122,0.93692,0.65611,1.02179,1.51735,0.15116,0.45814,1.37952,0.0003236,0.0003236,0.0003236
129,3349.2,0.54347,0.97307,0.19268,0.33923,0.92383,0.93212,0.95455,0.96464,0.73362,0.9099,0.93182,0.9488,0.65845,1.02409,1.55867,0.16337,0.47114,1.36666,0.0003104,0.0003104,0.0003104
130,3373.29,0.56894,1.19751,0.19105,0.34404,0.94047,0.93204,0.95455,0.96485,0.73151,0.90985,0.93182,0.94604,0.65878,1.02946,1.53578,0.16172,0.45768,1.36294,0.0002972,0.0002972,0.0002972
131,3397.46,0.54252,1.23578,0.20077,0.34206,0.92085,0.95063,0.95455,0.95376,0.72053,0.92779,0.93182,0.93046,0.64413,1.02459,1.52739,0.15579,0.45904,1.38007,0.000284,0.000284,0.000284
132,3421.72,0.51393,1.14299,0.20359,0.32729,0.91479,0.95337,0.95455,0.95357,0.72428,0.93064,0.93182,0.93801,0.64042,0.97767,1.52122,0.15639,0.45626,1.32712,0.0002708,0.0002708,0.0002708
133,3445.98,0.51233,1.17314,0.20087,0.32693,0.91755,0.93196,0.95455,0.95822,0.71603,0.90977,0.93182,0.9305,0.62581,1.01739,1.53048,0.15729,0.4506,1.36152,0.0002576,0.0002576,0.0002576
134,3470.19,0.51261,1.08241,0.20205,0.32837,0.90578,0.93752,0.95455,0.96039,0.71917,0.91318,0.93182,0.92375,0.62284,1.03807,1.51957,0.16123,0.4642,1.39693,0.0002444,0.0002444,0.0002444
135,3494.31,0.50611,1.09219,0.1943,0.32218,0.91569,0.95431,0.94948,0.96122,0.73813,0.90877,0.9056,0.89774,0.61738,1.02046,1.54538,0.16238,0.45716,1.39748,0.0002312,0.0002312,0.0002312
136,3518.59,0.48464,1.01958,0.19203,0.31089,0.90094,0.93103,0.95455,0.95557,0.71347,0.88649,0.90909,0.90677,0.62263,1.04364,1.61552,0.15966,0.48047,1.40323,0.000218,0.000218,0.000218
137,3543.06,0.49643,1.04734,0.19066,0.32211,0.91563,0.95282,0.95455,0.95694,0.71645,0.93009,0.93182,0.92867,0.6336,1.02502,1.59396,0.15993,0.4523,1.37442,0.0002048,0.0002048,0.0002048
138,3569.17,0.49243,1.04253,0.18565,0.32454,0.90453,0.95315,0.95455,0.95733,0.70552,0.93046,0.93182,0.9182,0.62838,0.99877,1.5775,0.17117,0.46297,1.32746,0.0001916,0.0001916,0.0001916
139,3595.7,0.49673,1.08173,0.18656,0.32342,0.91631,0.95248,0.95455,0.96139,0.72056,0.9298,0.93182,0.92882,0.62241,1.00552,1.5646,0.16904,0.47582,1.33431,0.0001784,0.0001784,0.0001784
140,3622.2,0.50348,1.02984,0.19359,0.32445,0.91396,0.92795,0.95455,0.96224,0.72724,0.88376,0.90909,0.9055,0.62543,1.02664,1.53532,0.16758,0.48483,1.36129,0.0001652,0.0001652,0.0001652
141,3659.87,0.37579,0.67771,0.10364,0.2407,0.86413,0.95048,0.95455,0.96426,0.72577,0.92785,0.93182,0.92779,0.63603,1.02856,1.52561,0.16247,0.46737,1.39117,0.000152,0.000152,0.000152
142,3686.38,0.36077,0.68377,0.10514,0.23179,0.85377,0.93194,0.95455,0.96356,0.73078,0.90976,0.93182,0.92565,0.6361,1.02036,1.55706,0.16303,0.47937,1.36993,0.0001388,0.0001388,0.0001388
143,3712.81,0.34711,0.6737,0.0937,0.23338,0.85212,0.93131,0.95455,0.96189,0.71822,0.90913,0.93182,0.92522,0.61986,1.03943,1.57126,0.16657,0.48798,1.39092,0.0001256,0.0001256,0.0001256
144,3739.3,0.3542,0.66895,0.10657,0.23471,0.85306,0.93068,0.95455,0.96334,0.73224,0.90852,0.93182,0.92809,0.63216,1.02035,1.57716,0.16699,0.47148,1.35867,0.0001124,0.0001124,0.0001124
145,3765.94,0.3471,0.62408,0.09187,0.22684,0.83704,0.92777,0.95455,0.96238,0.73317,0.90568,0.93182,0.93202,0.6463,1.00994,1.59337,0.16811,0.46874,1.36492,9.92e-05,9.92e-05,9.92e-05
146,3792.44,0.33676,0.61721,0.08774,0.22215,0.83919,0.92481,0.95455,0.95966,0.738,0.9026,0.93182,0.93122,0.62139,1.00862,1.6041,0.1673,0.466,1.3631,8.6e-05,8.6e-05,8.6e-05
147,3819.02,0.33439,0.64114,0.09302,0.22464,0.83891,0.9247,0.95455,0.95956,0.74227,0.90269,0.93182,0.93251,0.62665,1.00289,1.59145,0.16879,0.47033,1.37073,7.28e-05,7.28e-05,7.28e-05
148,3845.78,0.32472,0.62717,0.08972,0.21903,0.84174,0.92845,0.95455,0.9601,0.74332,0.90625,0.93182,0.92786,0.61801,1.00757,1.5748,0.16423,0.47667,1.36303,5.96e-05,5.96e-05,5.96e-05
149,3872.6,0.3293,0.61028,0.09631,0.21944,0.84357,0.92907,0.95455,0.96527,0.74732,0.90695,0.93182,0.93631,0.62664,1.02487,1.59222,0.16359,0.47787,1.38114,4.64e-05,4.64e-05,4.64e-05
150,3899.16,0.32867,0.63317,0.09573,0.22112,0.84526,0.92982,0.95455,0.96472,0.73898,0.90768,0.93182,0.93459,0.64051,1.02509,1.56207,0.16516,0.47716,1.37499,3.32e-05,3.32e-05,3.32e-05
